anno,paese,gva_primario,gva_secondario,gva_terziario
2014,ALBANIA,1992.7,1285.6,530.9
2014,AUSTRIA,4210.8,66621.2,56735.9
2014,BELGIO,2901.6,60613.7,50959.1
2014,BOSNIA ERZ.,832.5,2526.5,1530.3
2014,BULGARIA,1961.4,8435.5,5605.1
2014,CIPRO,322.5,1090.1,712.9
2014,CROAZIA,1301.3,7553.2,5637.9
2014,DANIMARCA,3595.2,40893.0,31423.1
2014,ESTONIA,634.4,3830.3,2843.3
2014,FINLANDIA,4565.0,36389.0,30060.0
2014,FRANCIA,31477.8,262884.0,219282.3
2014,GERMANIA,27326.0,664040.0,600530.0
2014,GRECIA,6221.4,21902.8,13721.7
2014,IRLANDA,2441.9,44210.2,39289.2
2014,ISLANDA,709.6,2143.3,1535.8
2014,ITALIA,31220.3,265877.4,226342.7
2014,LETTONIA,824.2,3175.7,2484.1
2014,LIECHTENSTEIN,,,
2014,LITUANIA,1252.6,7630.5,6336.2
2014,LUSSEMBURGO,150.0,3121.6,2448.8
2014,MACEDONIA,871.4,1360.9,937.7
2014,MALTA,89.6,865.8,747.8
2014,MONTENEGRO,280.1,376.6,134.2
2014,NORVEGIA,5235.7,111135.0,26064.7
2014,PAESI BASSI,12222.0,94166.0,65571.0
2014,POLONIA,12143.7,92115.8,69105.9
2014,PORTOGALLO,3423.2,26575.2,20507.9
2014,REGNO UNITO,17447.8,302323.5,217019.8
2014,REPUBBLICA CECA,3804.2,45261.9,37314.0
2014,ROMANIA,7448.7,39429.8,32383.7
2014,SERBIA,2264.3,8723.5,6744.2
2014,SLOVACCHIA,2002.0,17450.6,14190.2
2014,SLOVENIA,678.8,8544.1,7321.0
2014,SPAGNA,26254.0,151045.0,114259.0
2014,SVEZIA,5452.4,71459.4,56825.1
2014,SVIZZERA,3884.8,106208.0,96173.9
2014,TURCHIA,46359.7,141843.7,118576.0
2014,UNGHERIA,4195.2,23553.7,20654.0
2015,ALBANIA,2030.3,1319.6,582.1
2015,AUSTRIA,3912.2,68437.2,58985.2
2015,BELGIO,3119.1,61915.5,52223.7
2015,BOSNIA ERZ.,893.0,2641.2,1644.4
2015,BULGARIA,1860.3,9278.7,6242.0
2015,CIPRO,335.2,1193.9,764.4
2015,CROAZIA,1348.2,7602.8,5794.1
2015,DANIMARCA,2472.4,41431.3,33982.0
2015,ESTONIA,589.7,3758.3,2869.0
2015,FINLANDIA,4331.0,37511.0,31195.0
2015,FRANCIA,33100.3,271001.1,227182.7
2015,GERMANIA,21872.0,684875.0,621786.0
2015,GRECIA,6701.6,22121.8,14544.6
2015,IRLANDA,2365.3,99355.2,95003.1
2015,ISLANDA,835.7,2384.1,1695.3
2015,ITALIA,33124.6,274001.5,237222.4
2015,LETTONIA,844.0,3388.3,2575.3
2015,LIECHTENSTEIN,,,
2015,LITUANIA,1286.7,7580.5,6454.8
2015,LUSSEMBURGO,121.1,3663.3,2966.8
2015,MACEDONIA,882.5,1526.1,1066.9
2015,MALTA,96.2,889.7,732.0
2015,MONTENEGRO,294.6,387.2,149.4
2015,NORVEGIA,5182.8,90827.0,24348.6
2015,PAESI BASSI,12627.0,95632.0,70958.0
2015,POLONIA,10741.4,100191.4,76417.4
2015,PORTOGALLO,3543.7,28751.8,21978.0
2015,REGNO UNITO,17123.6,335823.3,247354.8
2015,REPUBBLICA CECA,3852.1,48573.1,40472.9
2015,ROMANIA,7094.3,39895.2,32391.2
2015,SERBIA,2086.5,8588.7,6628.2
2015,SLOVACCHIA,1644.5,18189.2,15133.9
2015,SLOVENIA,759.7,8878.5,7692.5
2015,SPAGNA,29605.0,157662.0,119732.0
2015,SVEZIA,5894.6,76174.7,62266.9
2015,SVIZZERA,3918.6,119839.4,107082.8
2015,TURCHIA,53370.2,153306.5,129736.4
2015,UNGHERIA,4244.8,25777.9,22805.2
2016,ALBANIA,2127.9,1312.0,609.4
2016,AUSTRIA,4087.6,72508.3,62839.8
2016,BELGIO,2884.4,62442.1,52480.4
2016,BOSNIA ERZ.,954.1,2859.9,1828.1
2016,BULGARIA,1976.8,10278.0,7021.3
2016,CIPRO,407.6,1301.2,869.0
2016,CROAZIA,1455.7,7858.8,6125.5
2016,DANIMARCA,2621.7,43659.4,36525.6
2016,ESTONIA,459.7,3925.9,3020.0
2016,FINLANDIA,4508.0,38109.0,31813.0
2016,FRANCIA,29861.4,269947.6,226869.6
2016,GERMANIA,23342.0,716387.0,653112.0
2016,GRECIA,6032.6,22074.4,14143.8
2016,IRLANDA,2555.0,94580.2,90028.1
2016,ISLANDA,860.2,2529.2,1744.5
2016,ITALIA,31525.4,287784.7,249997.8
2016,LETTONIA,814.6,3517.7,2581.9
2016,LIECHTENSTEIN,6.5,2152.5,2078.5
2016,LITUANIA,1211.4,7724.7,6524.7
2016,LUSSEMBURGO,120.4,4001.3,3257.2
2016,MACEDONIA,885.8,1646.6,1186.7
2016,MALTA,109.8,967.9,760.2
2016,MONTENEGRO,295.3,400.6,147.7
2016,NORVEGIA,6821.6,76015.8,22369.9
2016,PAESI BASSI,13424.0,93991.0,73940.0
2016,POLONIA,11220.9,100941.3,78155.5
2016,PORTOGALLO,3582.9,29723.9,22819.6
2016,REGNO UNITO,14024.7,296594.2,222090.8
2016,REPUBBLICA CECA,3848.2,50505.8,42567.0
2016,ROMANIA,7189.3,40352.2,33707.6
2016,SERBIA,2177.9,8841.3,6775.1
2016,SLOVACCHIA,1683.6,17541.0,14502.1
2016,SLOVENIA,740.8,9283.7,8095.0
2016,SPAGNA,31614.0,160533.0,122996.0
2016,SVEZIA,5925.6,76248.2,62671.7
2016,SVIZZERA,4091.3,118820.5,107765.7
2016,TURCHIA,48255.0,154010.1,130377.1
2016,UNGHERIA,4509.5,26141.2,22802.8
2017,ALBANIA,2198.8,1297.0,711.8
2017,AUSTRIA,4407.2,73897.5,64066.2
2017,BELGIO,3234.8,65238.9,55185.7
2017,BOSNIA ERZ.,883.1,3115.7,2043.0
2017,BULGARIA,2122.7,10728.7,7360.5
2017,CIPRO,376.3,1382.4,993.7
2017,CROAZIA,1451.0,8027.7,6406.1
2017,DANIMARCA,3708.5,45728.8,38309.0
2017,ESTONIA,568.7,4257.0,3244.0
2017,FINLANDIA,4647.0,41350.0,34547.0
2017,FRANCIA,32884.7,270903.6,229398.4
2017,GERMANIA,28665.0,741712.0,672930.0
2017,GRECIA,6655.7,22093.6,14221.7
2017,IRLANDA,3453.1,103795.7,99168.5
2017,ISLANDA,828.1,2827.0,1943.6
2017,ITALIA,33030.8,297225.4,258477.6
2017,LETTONIA,943.1,3765.7,2829.3
2017,LIECHTENSTEIN,7.7,2292.8,2221.2
2017,LITUANIA,1500.5,8341.9,7064.9
2017,LUSSEMBURGO,136.4,3486.6,2778.1
2017,MACEDONIA,790.3,1784.3,1265.1
2017,MALTA,84.7,1007.1,830.8
2017,MONTENEGRO,294.7,397.7,165.4
2017,NORVEGIA,6836.4,87764.7,23079.2
2017,PAESI BASSI,14776.0,98589.0,79216.0
2017,POLONIA,14003.5,103703.3,79206.7
2017,PORTOGALLO,3839.2,30714.0,24303.6
2017,REGNO UNITO,13536.5,292339.2,214998.8
2017,REPUBBLICA CECA,4142.3,53966.3,45608.9
2017,ROMANIA,8274.0,44160.9,36964.4
2017,SERBIA,2065.0,9431.0,7225.2
2017,SLOVACCHIA,1570.2,17431.0,14545.1
2017,SLOVENIA,721.7,10002.6,8798.2
2017,SPAGNA,32801.0,168657.0,130043.0
2017,SVEZIA,6256.0,78183.2,63426.0
2017,SVIZZERA,3887.6,118713.8,107705.5
2017,TURCHIA,45923.6,156974.0,133785.4
2017,UNGHERIA,4769.5,27416.1,24303.8
2018,ALBANIA,2364.1,1577.3,786.8
2018,AUSTRIA,4250.5,76480.4,66380.5
2018,BELGIO,3053.9,66074.4,56719.3
2018,BOSNIA ERZ.,992.4,3429.3,2209.5
2018,BULGARIA,1906.6,10423.7,7477.5
2018,CIPRO,374.7,1527.5,1155.3
2018,CROAZIA,1565.0,8060.6,6522.7
2018,DANIMARCA,3001.3,47120.9,39145.3
2018,ESTONIA,541.8,4595.4,3493.5
2018,FINLANDIA,4903.0,41368.0,34299.0
2018,FRANCIA,36063.0,277731.2,232856.0
2018,GERMANIA,25496.0,752128.0,681620.0
2018,GRECIA,6368.0,22378.7,14777.6
2018,IRLANDA,2781.2,114847.3,109857.4
2018,ISLANDA,868.4,2823.5,1893.9
2018,ITALIA,33022.6,306498.3,265738.5
2018,LETTONIA,1030.7,3836.6,3080.3
2018,LIECHTENSTEIN,7.9,2141.6,2070.5
2018,LITUANIA,1326.4,8870.6,7588.4
2018,LUSSEMBURGO,141.1,3703.4,2983.0
2018,MACEDONIA,910.1,2002.7,1434.0
2018,MALTA,85.1,1093.4,894.1
2018,MONTENEGRO,313.9,476.7,185.8
2018,NORVEGIA,6749.6,100325.3,22747.0
2018,PAESI BASSI,13855.0,103759.0,83919.0
2018,POLONIA,12173.6,108268.0,83076.9
2018,PORTOGALLO,3932.2,32191.6,25260.1
2018,REGNO UNITO,13772.9,299523.0,217189.8
2018,REPUBBLICA CECA,4203.0,56207.4,47624.6
2018,ROMANIA,9268.8,47339.4,38978.5
2018,SERBIA,2327.0,9809.5,7559.9
2018,SLOVACCHIA,1813.9,19151.3,16346.3
2018,SLOVENIA,905.3,10534.3,9277.2
2018,SPAGNA,32747.0,172142.0,130788.0
2018,SVEZIA,5976.1,76550.9,62471.8
2018,SVIZZERA,3954.6,120298.2,108527.6
2018,TURCHIA,38164.7,147084.6,125755.0
2018,UNGHERIA,4741.5,28267.5,25134.6
2019,ALBANIA,2527.5,1627.5,969.7
2019,AUSTRIA,4133.7,78099.4,67674.9
2019,BELGIO,3446.2,70005.8,59514.7
2019,BOSNIA ERZ.,997.2,3487.2,2283.4
2019,BULGARIA,1959.5,10900.5,8157.7
2019,CIPRO,409.1,1688.0,1265.1
2019,CROAZIA,1593.2,8413.1,6688.9
2019,DANIMARCA,3829.8,48967.5,41352.7
2019,ESTONIA,645.1,4660.4,3667.3
2019,FINLANDIA,5223.0,42628.0,35091.0
2019,FRANCIA,34252.4,288093.1,241054.8
2019,GERMANIA,29470.0,761681.0,684665.0
2019,GRECIA,6780.4,22382.2,14517.4
2019,IRLANDA,3212.5,121152.9,116147.3
2019,ISLANDA,966.6,2731.2,1870.5
2019,ITALIA,32810.0,309885.1,267061.1
2019,LETTONIA,1139.3,4061.4,3259.0
2019,LIECHTENSTEIN,8.0,2308.3,2231.5
2019,LITUANIA,1538.3,9198.9,7879.6
2019,LUSSEMBURGO,134.5,3913.0,3148.1
2019,MACEDONIA,915.9,2035.5,1508.5
2019,MALTA,68.9,1141.8,938.5
2019,MONTENEGRO,316.5,480.2,184.1
2019,NORVEGIA,6508.3,86991.2,22915.8
2019,PAESI BASSI,14594.0,105749.0,86468.0
2019,POLONIA,12762.2,115705.3,89709.4
2019,PORTOGALLO,4289.6,32357.0,25605.3
2019,REGNO UNITO,,,
2019,REPUBBLICA CECA,4339.3,59412.9,50760.1
2019,ROMANIA,9663.2,47894.5,38486.3
2019,SERBIA,2292.1,9862.6,7550.1
2019,SLOVACCHIA,1528.8,21324.3,17682.3
2019,SLOVENIA,852.6,11275.8,9907.9
2019,SPAGNA,31591.0,176691.0,134106.0
2019,SVEZIA,6136.4,78512.8,62440.2
2019,SVIZZERA,4174.4,128183.4,115507.0
2019,TURCHIA,43476.7,148917.5,124808.0
2019,UNGHERIA,4900.2,29110.8,25534.1
2020,ALBANIA,2516.2,1510.4,945.9
2020,AUSTRIA,4074.7,73789.8,63122.6
2020,BELGIO,3305.7,66815.9,55705.8
2020,BOSNIA ERZ.,1050.2,3413.3,2248.2
2020,BULGARIA,2125.4,10940.4,7969.7
2020,CIPRO,408.4,1640.0,1260.0
2020,CROAZIA,1586.8,7631.8,6165.4
2020,DANIMARCA,4174.6,46375.0,40067.0
2020,ESTONIA,538.2,4390.3,3508.0
2020,FINLANDIA,5296.0,41902.0,34331.0
2020,FRANCIA,33856.9,261238.0,214340.1
2020,GERMANIA,25144.0,719682.0,642917.0
2020,GRECIA,6574.0,21576.3,14119.0
2020,IRLANDA,3591.1,134115.8,129247.8
2020,ISLANDA,879.3,2483.3,1686.4
2020,ITALIA,32198.1,284141.8,241771.9
2020,LETTONIA,1192.1,4261.6,3355.7
2020,LIECHTENSTEIN,11.9,2018.5,1929.1
2020,LITUANIA,1775.6,9182.5,7771.2
2020,LUSSEMBURGO,128.5,3974.9,3189.0
2020,MACEDONIA,929.9,1892.2,1443.0
2020,MALTA,104.4,1160.7,963.3
2020,MONTENEGRO,316.2,469.5,172.0
2020,NORVEGIA,5952.6,66672.0,21267.4
2020,PAESI BASSI,14185.0,103231.0,85598.0
2020,POLONIA,13659.7,114065.5,86200.5
2020,PORTOGALLO,4303.9,30637.1,24304.9
2020,REGNO UNITO,,,
2020,REPUBBLICA CECA,4282.8,54323.1,45817.6
2020,ROMANIA,8986.2,44251.2,34935.7
2020,SERBIA,2477.6,9623.4,7278.1
2020,SLOVACCHIA,1631.0,20321.5,16544.4
2020,SLOVENIA,886.8,11076.9,9589.7
2020,SPAGNA,31445.0,163491.0,122556.0
2020,SVEZIA,5745.0,76135.2,60533.3
2020,SVIZZERA,4590.8,129023.0,115749.6
2020,TURCHIA,41806.2,142791.2,119961.7
2020,UNGHERIA,4672.4,27150.9,24003.0
2021,ALBANIA,2712.2,1674.2,1054.6
2021,AUSTRIA,4939.5,79984.3,68970.5
2021,BELGIO,3314.1,66537.9,54373.8
2021,BOSNIA ERZ.,1004.6,4113.1,2799.3
2021,BULGARIA,3088.5,12327.0,8003.7
2021,CIPRO,385.8,1687.2,1280.9
2021,CROAZIA,1961.8,8534.3,6807.1
2021,DANIMARCA,3416.1,52270.8,43982.3
2021,ESTONIA,604.6,5323.7,4103.9
2021,FINLANDIA,5371.0,45358.0,37166.0
2021,FRANCIA,36702.2,277505.6,228132.6
2021,GERMANIA,27286.0,767350.0,687379.0
2021,GRECIA,6518.7,24238.1,15994.5
2021,IRLANDA,4345.3,161320.5,155321.7
2021,ISLANDA,949.2,3067.4,2123.4
2021,ITALIA,33780.4,330290.1,283106.8
2021,LETTONIA,1358.1,5256.9,4147.9
2021,LIECHTENSTEIN,10.8,2386.7,2297.2
2021,LITUANIA,1924.7,10507.6,9022.2
2021,LUSSEMBURGO,138.0,4199.2,3394.1
2021,MACEDONIA,845.9,2016.2,1595.7
2021,MALTA,138.5,1296.4,1055.8
2021,MONTENEGRO,320.2,500.7,190.9
2021,NORVEGIA,6802.3,138803.8,23890.0
2021,PAESI BASSI,14752.0,116527.0,95886.0
2021,POLONIA,13091.4,130515.2,100862.8
2021,PORTOGALLO,4680.7,33115.4,26938.2
2021,REGNO UNITO,,,
2021,REPUBBLICA CECA,4327.0,57979.4,48319.2
2021,ROMANIA,11157.7,47663.4,37812.7
2021,SERBIA,2883.7,10722.9,8095.6
2021,SLOVACCHIA,1860.4,21857.0,18486.8
2021,SLOVENIA,786.2,11887.5,10381.3
2021,SPAGNA,34201.0,185462.0,139066.0
2021,SVEZIA,6004.9,92927.4,72568.0
2021,SVIZZERA,4325.0,143123.6,132579.4
2021,TURCHIA,38196.5,179976.7,153497.2
2021,UNGHERIA,5358.3,28979.8,25610.1
2022,ALBANIA,3068.8,2069.8,1355.9
2022,AUSTRIA,6159.0,85781.1,72356.6
2022,BELGIO,3929.1,82814.4,68536.9
2022,BOSNIA ERZ.,1125.7,4741.5,3352.0
2022,BULGARIA,3194.7,18877.6,11345.1
2022,CIPRO,345.9,1752.6,1267.4
2022,CROAZIA,2294.1,10218.9,8299.1
2022,DANIMARCA,3018.7,62959.6,49068.4
2022,ESTONIA,887.4,6446.6,4429.7
2022,FINLANDIA,5965.0,51804.0,41930.0
2022,FRANCIA,46817.9,300682.6,253431.6
2022,GERMANIA,39695.0,841702.0,722622.0
2022,GRECIA,7801.4,31180.5,19028.1
2022,IRLANDA,5723.8,199668.0,193511.0
2022,ISLANDA,1156.8,4005.0,2766.7
2022,ITALIA,37771.1,361844.4,306024.5
2022,LETTONIA,1833.1,5666.6,4264.7
2022,LIECHTENSTEIN,,,
2022,LITUANIA,2649.6,13090.2,11035.0
2022,LUSSEMBURGO,187.1,4007.5,2967.6
2022,MACEDONIA,,,
2022,MALTA,140.5,1401.3,1153.0
2022,MONTENEGRO,358.0,537.8,231.5
2022,NORVEGIA,9274.8,254319.2,27712.2
2022,PAESI BASSI,16318.0,141430.0,102836.0
2022,POLONIA,18568.1,154450.0,116801.0
2022,PORTOGALLO,4648.4,34847.8,30402.6
2022,REGNO UNITO,,,
2022,REPUBBLICA CECA,5958.6,69563.9,55659.3
2022,ROMANIA,10743.3,57880.5,38633.1
2022,SERBIA,3389.9,12978.4,9421.8
2022,SLOVACCHIA,2123.9,20786.0,19080.3
2022,SLOVENIA,973.3,12560.9,11340.0
2022,SPAGNA,31725.0,214377.0,150826.0
2022,SVEZIA,5739.6,99941.6,77440.7
2022,SVIZZERA,4853.3,156043.4,142414.8
2022,TURCHIA,55851.2,227748.9,190645.0
2022,UNGHERIA,5298.1,31876.0,28468.3
2023,ALBANIA,3533.6,2386.5,1498.1
2023,AUSTRIA,6137.6,91133.7,75110.6
2023,BELGIO,4586.1,81454.9,67112.6
2023,BOSNIA ERZ.,1187.7,4889.4,3388.7
2023,BULGARIA,2384.4,17793.5,12714.2
2023,CIPRO,369.5,1895.6,1362.5
2023,CROAZIA,2620.3,11901.6,9457.6
2023,DANIMARCA,2848.5,71406.1,60074.5
2023,ESTONIA,735.7,6197.8,4549.7
2023,FINLANDIA,6305.0,50468.0,40819.0
2023,FRANCIA,49124.9,378175.7,274674.4
2023,GERMANIA,35242.0,918515.0,775842.0
2023,GRECIA,7529.3,30241.6,19661.0
2023,IRLANDA,4465.7,156589.2,150119.7
2023,ISLANDA,1115.3,3953.9,2660.4
2023,ITALIA,39511.7,377869.8,327043.2
2023,LETTONIA,1502.6,6283.9,4402.8
2023,LIECHTENSTEIN,,,
2023,LITUANIA,2003.8,13007.8,10756.8
2023,LUSSEMBURGO,181.6,4146.4,2800.8
2023,MACEDONIA,,,
2023,MALTA,1.4,1602.6,1270.8
2023,MONTENEGRO,381.1,645.0,221.2
2023,NORVEGIA,9274.4,153013.3,26950.0
2023,PAESI BASSI,18390.0,151631.0,115740.0
2023,POLONIA,20576.6,177325.6,125518.5
2023,PORTOGALLO,5664.3,37413.4,31737.3
2023,REGNO UNITO,,,
2023,REPUBBLICA CECA,5492.4,80863.6,63529.0
2023,ROMANIA,12576.6,61943.2,40941.7
2023,SERBIA,2847.7,14268.9,9995.2
2023,SLOVACCHIA,2461.5,30981.1,25489.4
2023,SLOVENIA,971.6,15036.1,12530.8
2023,SPAGNA,37454.0,220604.0,163192.0
2023,SVEZIA,5372.9,93435.4,76728.4
2023,SVIZZERA,5167.7,164021.6,147506.0
2023,TURCHIA,63474.3,235818.7,201430.5
2023,UNGHERIA,5498.0,39674.4,33871.1
